Arsenal,in,31 January 2018,player,Pierre-Emerick Aubameyang,Borussia Dortmund,Undisclosed
Arsenal,in,31 January 2018,player,Konstantinos Mavropanos,PAS Giannina,Undisclosed
Arsenal,in,31 January 2018,player,Henrikh Mkhitaryan,Man Utd,Swap
Arsenal,out,31 January 2018,player,Jeff-Reine Adelaide,Angers,Loan
Arsenal,out,31 January 2018,player,Chuba Akpom,Sint-Truidense,Loan
Arsenal,out,31 January 2018,player,Krystian Bielik,Walsall,Loan
Arsenal,out,31 January 2018,player,Francis Coquelin,Valencia,Undisclosed
Arsenal,out,31 January 2018,player,Mathieu Debuchy,Saint-Etienne,Undisclosed
Arsenal,out,31 January 2018,player,Olivier Giroud,Chelsea,Undisclosed
Arsenal,out,31 January 2018,player,Stephy Mavididi,Charlton Athletic,Loan
Arsenal,out,31 January 2018,player,Marcus McGuane,Barcelona,Undisclosed
Arsenal,out,31 January 2018,player,Tafari Moore,Wycombe Wanderers,Loan
Arsenal,out,31 January 2018,player,Julio Pleguezuelo,Gimnastic de Tarragona,Loan
Arsenal,out,31 January 2018,player,Alexis Sanchez,Man Utd,Swap
Arsenal,out,31 January 2018,player,Ben Sheaf,Stevenage,Loan
Arsenal,out,31 January 2018,player,Theo Walcott,Everton,Undisclosed
AFC Bournemouth,in,31 January 2018,player,Lewis Grabban,Sunderland,Loan return
AFC Bournemouth,out,31 January 2018,player,Benik Afobe,Wolverhampton Wanderers,Loan
AFC Bournemouth,out,31 January 2018,player,Ryan Allsop,Lincoln City,Loan
AFC Bournemouth,out,31 January 2018,player,Baily Cargill,Partick Thistle,Loan
AFC Bournemouth,out,31 January 2018,player,Mihai Dobre,Rochdale,Loan
AFC Bournemouth,out,31 January 2018,player,Lewis Grabban,Aston Villa,Loan
AFC Bournemouth,out,31 January 2018,player,Shaun Hobson,Chester,Loan
AFC Bournemouth,out,31 January 2018,player,Connor Mahoney,Barnsley,Loan
AFC Bournemouth,out,31 January 2018,player,Sam Matthews,Eastleigh,Loan extension
AFC Bournemouth,out,31 January 2018,player,Ollie Harfield,Boreham Wood,Loan
AFC Bournemouth,out,31 January 2018,player,Aaron Ramsdale,Chesterfield,Loan
AFC Bournemouth,out,31 January 2018,player,Ben Whitfield,Port Vale,Loan extension
Brighton and Hove Albion,in,31 January 2018,player,Warren O'Hora,Bohemians,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Jurgen Locadia,PSV Eindhoven,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Bojan Radulovic Samoukovic,Lleida,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Leonardo Ulloa,Leicester,Loan
Brighton and Hove Albion,out,31 January 2018,player,Soufyan Ahannach,Sparta Rotterdam,Loan
Brighton and Hove Albion,out,31 January 2018,player,David Ajiboye,Millwall,Loan
Brighton and Hove Albion,out,31 January 2018,player,Jonah Ayunga,Poole Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Charlie Ferguson,East Grinstead Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Ben Hall,Notts County,Loan
Brighton and Hove Albion,out,31 January 2018,player,Kazenga LuaLua,Sunderland,Free
Brighton and Hove Albion,out,31 January 2018,player,Stefan Ljubicic,Bognor Regis Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Jordan Maguire-Drew,Coventry City,Loan
Brighton and Hove Albion,out,31 January 2018,player,Reece Meekums,Worthing,Loan extension
Brighton and Hove Albion,out,31 January 2018,player,Jamie Murphy,Rangers,Loan
Brighton and Hove Albion,out,31 January 2018,player,Mathias Normann,Molde,Loan extension
Brighton and Hove Albion,out,31 January 2018,player,Rian Oâ€™Sullivan,Carshalton Athletic,Loan
Brighton and Hove Albion,out,31 January 2018,player,Bailey Vose,Welling United,Loan
Burnley,in,31 January 2018,player,Aaron Lennon,Everton,Undisclosed
Burnley,in,31 January 2018,player,Georges-Kevin Nkoudou,Spurs,Loan
Burnley,out,31 January 2018,player,Dan Agyei,Blackpool,Loan
Burnley,out,31 January 2018,player,Tom Anderson,Doncaster Rovers,Loan
Burnley,out,31 January 2018,player,Jimmy Dunne,Accrington Stanley,Loan
Burnley,out,31 January 2018,player,Harry Flowers,Guiseley,Undisclosed
Burnley,out,31 January 2018,player,Josh Ginnelly,Tranmere Rovers,Loan
Burnley,out,31 January 2018,player,Luke Hendrie,Shrewsbury Town,Undisclosed
Burnley,out,31 January 2018,player,Alex Whitmore,Chesterfield,Undisclosed
Chelsea,in,31 January 2018,player,Ross Barkley,Everton,Undisclosed
Chelsea,in,31 January 2018,player,Olivier Giroud,Arsenal,Undisclosed
Chelsea,in,31 January 2018,player,Emerson Palmieri,Roma,Undisclosed
Chelsea,out,31 January 2018,player,Michy Batshuayi,Borussia Dortmund,Loan
Chelsea,out,31 January 2018,player,Jake Clarke-Salter,Sunderland,Loan
Chelsea,out,31 January 2018,player,Jordan Houghton,Doncaster Rovers,Loan extension
Chelsea,out,31 January 2018,player,Todd Kane,Oxford United,Loan
Chelsea,out,31 January 2018,player,Kenedy,Newcastle,Loan
Chelsea,out,31 January 2018,player,Charly Musonda Jr,Celtic,Loan
Chelsea,out,31 January 2018,player,Baba Rahman,Schalke,Loan
Chelsea,out,31 January 2018,player,Ike Ugbo,MK Dons,Loan
Crystal Palace,in,31 January 2018,player,Jaroslaw Jach,Zaglebie Lubin,Undisclosed
Crystal Palace,in,31 January 2018,player,Erdal Rakip,Benfica,Loan
Crystal Palace,in,31 January 2018,player,Alexander Sorloth,FC Midtjylland,Undisclosed
Crystal Palace,in,31 January 2018,player,Diego Cavalieri,Unattached,Free
Crystal Palace,out,31 January 2018,player,Keshi Anderson,Swindon Town,Undisclosed
Crystal Palace,out,31 January 2018,player,Andre Coker,Maidstone United,Loan
Crystal Palace,out,31 January 2018,player,Noor Husin,Notts County,Undisclosed
Crystal Palace,out,31 January 2018,player,Sullay Kaikai,Charlton,Loan
Crystal Palace,out,31 January 2018,player,Freddie Ladapo,Southend United,Undisclosed
Everton,in,31 January 2018,player,Cenk Tosun,Besiktas,Undisclosed
Everton,in,31 January 2018,player,Eliaquim Mangala,Man City,Loan
Everton,in,31 January 2018,player,Theo Walcott,Arsenal,Undisclosed
Everton,out,31 January 2018,player,Ross Barkley,Chelsea,Undisclosed
Everton,out,31 January 2018,player,Mo Besic,Middlesbrough,Loan
Everton,out,31 January 2018,player,Harry Charsley,Bolton Wanderers,Loan
Everton,out,31 January 2018,player,Louis Gray,Carlisle United,Loan
Everton,out,31 January 2018,player,Gethin Jones,Fleetwood Town,Undisclosed
Everton,out,31 January 2018,player,Aaron Lennon,Burnley,Undisclosed
Everton,out,31 January 2018,player,Ademola Lookman,RB Leipzig,Loan
Everton,out,31 January 2018,player,Boris Mathis,Northampton Town,Loan
Everton,out,31 January 2018,player,Kevin Mirallas,Olympiacos,Loan
Everton,out,31 January 2018,player,Sandro Ramirez,Sevilla,Loan
Everton,out,31 January 2018,player,Antonee Robinson,Bolton Wanderers,Loan extension
Everton,out,31 January 2018,player,Liam Walsh,Bristol City,Undisclosed
Huddersfield Town,in,31 January 2018,player,Terence Kongolo,Monaco,Loan
Huddersfield Town,in,31 January 2018,player,Jack Payne,Oxford Utd,Loan recall
Huddersfield Town,in,31 January 2018,player,Alex Pritchard,Norwich City,Undisclosed
Huddersfield Town,out,31 January 2018,player,Jack Boyle,Clyde,Loan
Huddersfield Town,out,31 January 2018,player,Dylan Cogill,Clyde,Loan
Huddersfield Town,out,31 January 2018,player,Martin Cranie,Middlesbrough,Undisclosed
Huddersfield Town,out,31 January 2018,player,Fraser Horsfall,Kidderminster Harriers,Undisclosed
Huddersfield Town,out,31 January 2018,player,Danny Kane,Cork City,Undisclosed
Huddersfield Town,out,31 January 2018,player,Joe Lolley,Nottingham Forest,Undisclosed
Huddersfield Town,out,31 January 2018,player,Jack Payne,Blackburn Rovers,Loan
Huddersfield Town,out,31 January 2018,player,Ryan Schofield,AFC Telford,Loan
Huddersfield Town,out,31 January 2018,player,Tadhg Ryan,,Released
Huddersfield Town,out,31 January 2018,player,Cedwyn Scott,Dundee,Undisclosed
Leicester City,in,31 January 2018,player,Fousseni Diabate,Gazalec Ajaccio,Undisclosed
Leicester City,in,31 January 2018,player,Callum Wright,Blackburn Rovers,Undisclosed
Leicester City,out,31 January 2018,player,Andy King,Swansea City,Loan
Leicester City,out,31 January 2018,player,Ahmed Musa,CSKA Moscow,Loan
Leicester City,out,31 January 2018,player,Islam Slimani,Newcastle United,Loan
Leicester City,out,31 January 2018,player,Raul Uche,Real Betis,Loan
Leicester City,out,31 January 2018,player,Leonardo Ulloa,Brighton,Loan
Liverpool,in,31 January 2018,player,Tony Gallacher,Falkirk,Undisclosed
Liverpool,in,31 January 2018,player,Virgil van Dijk,Southampton,Undisclosed
Liverpool,in,31 January 2018,player,Anderson Arroyo,Fortaleza CEIF,Undisclosed
Liverpool,out,31 January 2018,player,Cameron Brannagan,Oxford United,Undisclosed
Liverpool,out,31 January 2018,player,Philippe Coutinho,Barcelona,Undisclosed
Liverpool,out,31 January 2018,player,Ovie Ejaria,Sunderland,Loan
Liverpool,out,31 January 2018,player,Jon Flanagan,Bolton Wanderers,Loan
Liverpool,out,31 January 2018,player,Marko Grujic,Cardiff City,Loan
Liverpool,out,31 January 2018,player,Lloyd Jones,Luton Town,Undisclosed
Liverpool,out,31 January 2018,player,Ryan Kent,Bristol City,Loan
Liverpool,out,31 January 2018,player,Lazar Markovic,Anderlecht,Loan
Liverpool,out,31 January 2018,player,Daniel Sturridge,West Bromwich Albion,Loan
Liverpool,out,31 January 2018,player,Matty Virtue,Notts County,Loan
Liverpool,out,31 January 2018,player,Corey Whelan,Yeovil Town,Loan
Liverpool,out,31 January 2018,player,Harry Wilson,Hull City,Loan
Liverpool,out,31 January 2018,player,Anderson Arroyo,Real Mallorca,Loan
Manchester City,in,31 January 2018,player,Jack Harrison,New York City,Undisclosed
Manchester City,in,31 January 2018,player,Aymeric Laporte,Athletic Bilbao,Undisclosed
Manchester City,out,31 January 2018,player,Kean Bryan,Oldham Athletic,Loan
Manchester City,out,31 January 2018,player,Isaac Buckley,Oxford United,Loan
Manchester City,out,31 January 2018,player,Jacob Davenport,Burton Albion,Loan
Manchester City,out,31 January 2018,player,Shay Facey,Northampton Town,Undisclosed
Manchester City,out,31 January 2018,player,Jack Harrison,Middlesbrough,Loan
Manchester City,out,31 January 2018,player,Eliaquim Mangala,Everton,Loan
Manchester City,out,31 January 2018,player,Marlos Moreno,Flamengo,Loan
Manchester City,out,31 January 2018,player,Ashley Smith-Brown,Oxford United,Loan
Manchester United,in,31 January 2018,player,Cameron Borthwick-Jackson,Leeds,Loan recall
Manchester United,in,31 January 2018,player,Matej Kovar,FC Slovacko,Undisclosed
Manchester United,in,31 January 2018,player,Alexis Sanchez,Arsenal,Swap
Manchester United,out,31 January 2018,player,James Wilson,Sheffield United,Loan
Manchester United,out,31 January 2018,player,Henrikh Mkhitaryan,Arsenal,Swap
Manchester United,out,31 January 2018,player,Alex Tuanzebe,Aston Villa,Loan
Manchester United,out,31 January 2018,player,Matty Willock,St Johnstone,Loan
Manchester United,out,31 January 2018,player,Charlie Scott,Hamilton Academical,Loan
Manchester United,out,31 January 2018,player,Demi Mitchell,Hearts,Loan
Newcastle United,in,31 January 2018,player,Martin Dubravka,Sparta Prague,Loan
Newcastle United,in,31 January 2018,player,Kenedy,Chelsea,Loan
Newcastle United,in,31 January 2018,player,Islam Slimani,Leicester City,Loan
Newcastle United,out,31 January 2018,player,Rolando Aarons,Hellas Verona,Loan
Newcastle United,out,31 January 2018,player,Adam Armstrong,Blackburn Rovers,Loan
Newcastle United,out,31 January 2018,player,Dan Barlaser,Crewe Alexandra,Loan
Newcastle United,out,31 January 2018,player,Kyle Cameron,Queen of the South,Loan
Newcastle United,out,31 January 2018,player,Jack Colback,Nottingham Forest,Loan
Newcastle United,out,31 January 2018,player,Stuart Findlay,Kilmarnock,Loan extension
Newcastle United,out,31 January 2018,player,Lewis McNall,Gateshead,Loan
Newcastle United,out,31 January 2018,player,Aleksandar Mitrovic,Fulham,Loan
Newcastle United,out,31 January 2018,player,Henri Saivet,Sivasspor,Loan
Newcastle United,out,31 January 2018,player,Ivan Toney,Scunthorpe United,Loan
Newcastle United,out,31 January 2018,player,Callum Williams,Gateshead,Loan
Newcastle United,out,31 January 2018,player,Freddie Woodman,Aberdeen,Loan
Southampton,in,31 January 2018,player,Guido Carrillo,Monaco,Undisclosed
Southampton,out,31 January 2018,player,Marcus Barnes,Yeovil Town,Loan
Southampton,out,31 January 2018,player,Ollie Cook,Barrow,Loan
Southampton,out,31 January 2018,player,Ryan Seager,Yeovil,Loan
Southampton,out,31 January 2018,player,Matt Targett,Fulham,Loan
Southampton,out,31 January 2018,player,Virgil van Dijk,Liverpool,Undisclosed
Southampton,out,31 January 2018,player,Florin Gardos,Clubul Sportiv Universitatea Craiova,Loan
Stoke City,in,31 January 2018,player,Moritz Bauer,Rubin Kazan,Undisclosed
Stoke City,in,31 January 2018,player,Moussa Niakate,Paris FC,Undisclosed
Stoke City,in,31 January 2018,player,Badou Ndiaye,Galatasaray,EUR16million
Stoke City,in,31 January 2018,player,Kostas Stafylidis,Augsburg,Loan
Stoke City,out,31 January 2018,player,Jake Dunwoody,Curzon Ashton,Loan
Stoke City,out,31 January 2018,player,Julien Ngoy,Walsall,Loan
Stoke City,out,31 January 2018,player,Harry Souttar,Ross County,Loan
Stoke City,out,31 January 2018,player,Josh Tymon,MK Dons,Loan
Swansea City,in,31 January 2018,player,Andre Ayew,West Ham United,Undisclosed
Swansea City,in,31 January 2018,player,Andy King,Leicester City,Loan
Swansea City,in,31 January 2018,player,Jack Withers,Boston United,Undisclosed
Swansea City,out,31 January 2018,player,Ryan Blair,Falkirk,Loan
Swansea City,out,31 January 2018,player,Jay Fulton,Wigan,Loan
Swansea City,out,31 January 2018,player,Adam King,Mansfield,Loan
Swansea City,out,31 January 2018,player,Oliver McBurnie,Barnsley,Loan
Swansea City,out,31 January 2018,player,Roque Mesa,Sevilla,Loan
Swansea City,out,31 January 2018,player,Tyler Reid,Newport County,Loan
Swansea City,out,31 January 2018,player,Joe Rodon,Cheltenham Town,Loan
Swansea City,out,31 January 2018,player,Josh Sheehan,Newport County,Free
Swansea City,out,31 January 2018,player,Jack Withers,Boston United,Loan
Tottenham Hotspur,in,31 January 2018,player,Lucas Moura,Paris Saint-Germain,Undisclosed
Tottenham Hotspur,out,31 January 2018,player,Luke Amos,Stevenage,Loan
Tottenham Hotspur,out,31 January 2018,player,Cameron Carter-Vickers,Ipswich Town,Loan
Tottenham Hotspur,out,31 January 2018,player,Marcus Edwards,Norwich City,Loan
Tottenham Hotspur,out,31 January 2018,player,Shayon Harrison,Southend United,Loan
Tottenham Hotspur,out,31 January 2018,player,Ryan Loft,Exeter City,Loan
Tottenham Hotspur,out,31 January 2018,player,Georges-Kevin Nkoudou,Burnley,Loan
Tottenham Hotspur,out,31 January 2018,player,Connor Ogilvie,Gillingham,Loan extension
Tottenham Hotspur,out,31 January 2018,player,Anton Walkes,Portsmouth,Loan
Watford,in,31 January 2018,player,Pontus Dahlberg,IFK Gothenburg,Undisclosed
Watford,in,31 January 2018,player,Gerard Deulofeu,Barcelona,Loan
Watford,in,31 January 2018,player,Dodi Lukebakio,Charleroi,Undisclosed
Watford,in,31 January 2018,player,Didier Ndong,Sunderland,Loan
Watford,out,31 January 2018,player,Pontus Dahlberg,IFK Gothenburg,Loan
Watford,out,31 January 2018,player,Brice Dja Djedje,RC Lens,Loan
Watford,out,31 January 2018,player,Michael Folivi,Boreham Wood,Loan
Watford,out,31 January 2018,player,Alex Jakubiak,Falkirk,Loan
Watford,out,31 January 2018,player,Brandon Mason,Dundee United,Loan
Watford,out,31 January 2018,player,Costel Pantilimon,Nottingham Forest,Loan
Watford,out,31 January 2018,player,Charlie Rowan,Accrington Stanley,Loan
Watford,out,31 January 2018,player,Isaac Success,Malaga,Loan
Watford,out,31 January 2018,player,Ben Watson,,Released
Watford,out,31 January 2018,player,Randell Williams,Wycombe Wanderers,Loan
Watford,out,31 January 2018,player,Mauro Zarate,Velez Sarsfield,Loan
West Bromwich Albion,in,31 January 2018,player,Ali Gabr,Zamalek,Loan
West Bromwich Albion,in,31 January 2018,player,Rekeem Harper,Blackburn,Loan return
West Bromwich Albion,in,31 January 2018,player,Jonathan Leko,Bristol City,Loan return
West Bromwich Albion,in,31 January 2018,player,Daniel Sturridge,Liverpool,Loan
West Bromwich Albion,out,31 January 2018,player,Tahvon Campbell,Forest Green Rovers,Loan
West Bromwich Albion,out,31 January 2018,player,Shaun Donnellan,Yeovil,Undisclosed
West Bromwich Albion,out,31 January 2018,player,Kyle Edwards,Exeter City,Loan
West Bromwich Albion,out,31 January 2018,player,Kyle Howkins,Port Vale,Loan
West Bromwich Albion,out,31 January 2018,player,Jasko Keranovic,Kilmarnock,Loan
West Bromwich Albion,out,31 January 2018,player,Max Melbourne,Ross County,Loan
West Bromwich Albion,out,31 January 2018,player,Dara O'Shea,Hereford FC,Loan extension
West Bromwich Albion,out,31 January 2018,player,Tyler Roberts,Leeds,Undisclosed
West Bromwich Albion,out,31 January 2018,player,Kane Wilson,Exeter City,Loan extension
West Ham United,in,31 January 2018,player,Oladapo Afolayan,Solihull Moors,Undisclosed
West Ham United,in,31 January 2018,player,Jordan Hugill,Preston,Undisclosed
West Ham United,in,31 January 2018,player,Joao Mario,31 January 2018ter Milan,Loan
West Ham United,in,31 January 2018,player,Patrice Evra,Unattached,Free
West Ham United,out,31 January 2018,player,Andre Ayew,Swansea City,Undisclosed
West Ham United,out,31 January 2018,player,Reece Burke,Bolton Wanderers,Loan
West Ham United,out,31 January 2018,player,Moses Makasi,Plymouth Argyle,Loan
West Ham United,out,31 January 2018,player,Toni Martinez,Real Valladolid,Loan
West Ham United,out,31 January 2018,player,Reece Oxford,Borussia Moenchengladbach,Loan extension
West Ham United,out,31 January 2018,player,Diafra Sakho,Rennes,Undisclosed
West Ham United,out,31 January 2018,player,Martin Samuelsen,Burton Albion,Loan
West Ham United,out,31 January 2018,player,Jose Fonte,Dalian Yifang,Undisclosed
